,TSLA,AAPL,NVDA
2018-04-04,19.12933349609375,40.58062744140625,5.598726749420166
2018-04-05,20.381332397460938,40.862022399902344,5.478457927703857
2018-04-06,19.953332901000977,39.816837310791016,5.3020124435424805
2018-04-09,19.310667037963867,40.211734771728516,5.330719947814941
2018-04-10,20.31333351135254,40.96843719482422,5.640055179595947
2018-04-11,20.062000274658203,40.77690887451172,5.598726749420166
2018-04-12,19.60533332824707,41.17890167236328,5.805610179901123
2018-04-13,20.022666931152344,41.31841278076172,5.728896617889404
2018-04-16,19.413999557495117,41.57615661621094,5.728648662567139
2018-04-17,19.179332733154297,42.148441314697266,5.878365993499756
2018-04-18,19.55666732788086,42.0538444519043,5.849413871765137
2018-04-19,20.005332946777344,40.862022399902344,5.668018341064453
2018-04-20,19.349332809448242,39.18781661987305,5.659852027893066
2018-04-23,18.891332626342773,39.07432174682617,5.5403242111206055
2018-04-24,18.8973331451416,38.530426025390625,5.47400426864624
2018-04-25,18.71266746520996,38.69832229614258,5.3616533279418945
2018-04-26,19.031999588012695,38.8331184387207,5.573486328125
2018-04-27,19.60533332824707,38.38382339477539,5.600954532623291
2018-04-30,19.593332290649414,39.079044342041016,5.565566539764404
2018-05-01,19.994667053222656,39.98709487915039,5.62100076675415
2018-05-02,20.07666778564453,41.75352096557617,5.600459575653076
2018-05-03,18.963333129882812,41.829193115234375,5.765769004821777
2018-05-04,19.606000900268555,43.47028350830078,5.915982723236084
2018-05-07,20.184667587280273,43.78480529785156,6.154046535491943
2018-05-08,20.131332397460938,43.9952507019043,6.1966118812561035
2018-05-09,20.456666946411133,44.305030822753906,6.329750061035156
2018-05-10,20.334667205810547,44.938758850097656,6.437399387359619
2018-05-11,20.070667266845703,44.767852783203125,6.2988152503967285
2018-05-14,19.46466636657715,44.66341018676758,6.319355487823486
2018-05-15,18.94533348083496,44.25748062133789,6.076837062835693
2018-05-16,19.09866714477539,44.670528411865234,6.087973117828369
2018-05-17,18.96933364868164,44.38804626464844,6.13004207611084
2018-05-18,18.454666137695312,44.226627349853516,6.086241245269775
2018-05-21,18.965999603271484,44.53996658325195,6.044170379638672
2018-05-22,18.333999633789062,44.42840576171875,6.006062030792236
2018-05-23,18.60466766357422,44.7132568359375,6.1296234130859375
2018-05-24,18.523332595825195,44.66341018676758,6.133338451385498
2018-05-25,18.59000015258789,44.76548385620117,6.17271089553833
2018-05-29,18.917333602905273,44.60405731201172,6.155624866485596
2018-05-30,19.447999954223633,44.50910949707031,6.264577388763428
2018-05-31,18.98200035095215,44.359561920166016,6.244767665863037
2018-06-01,19.454666137695312,45.15953826904297,6.379227161407471
2018-06-04,19.78266716003418,45.53696823120117,6.55825662612915
2018-06-05,19.408666610717773,45.888301849365234,6.563703536987305
2018-06-06,21.299999237060547,46.04734802246094,6.565685272216797
2018-06-07,21.07266616821289,45.92391586303711,6.5099711418151855
2018-06-08,21.17733383178711,45.50611114501953,6.4946184158325195
2018-06-11,22.139999389648438,45.3945426940918,6.453514099121094
2018-06-12,22.851333618164062,45.64380645751953,6.502047061920166
2018-06-13,22.985332489013672,45.26873016357422,6.497589111328125
2018-06-14,23.847999572753906,45.292476654052734,6.609267234802246
2018-06-15,23.878000259399414,44.82719421386719,6.568408489227295
2018-06-18,24.722000122070312,44.803462982177734,6.564198970794678
2018-06-19,23.503332138061523,44.07944107055664,6.442370891571045
2018-06-20,24.148000717163086,44.271724700927734,6.495361804962158
2018-06-21,23.167333602905273,44.02485275268555,6.366598129272461
2018-06-22,22.242000579833984,43.896663665771484,6.2140631675720215
2018-06-25,22.200666427612305,43.243865966796875,5.9211249351501465
2018-06-26,22.799999237060547,43.78034591674805,5.992193222045898
2018-06-27,22.96666717529297,43.71625900268555,5.836934566497803
2018-06-28,23.32866668701172,44.03434371948242,5.964211463928223
2018-06-29,22.863332748413086,43.941776275634766,5.866154193878174
2018-07-02,22.33799934387207,44.433143615722656,5.998384475708008
2018-07-03,20.724000930786133,43.65928268432617,5.864667892456055
2018-07-05,20.610666275024414,44.0106086730957,6.0105180740356445
2018-07-06,20.593332290649414,44.62068557739258,6.124423027038574
2018-07-09,21.233999252319336,45.240238189697266,6.171965599060059
2018-07-10,21.49799919128418,45.18565368652344,6.271016597747803
2018-07-11,21.263999938964844,44.59931182861328,6.12937593460083
2018-07-12,21.11400032043457,45.347068786621094,6.220996379852295
2018-07-13,21.257999420166016,45.41829299926758,6.173699855804443
2018-07-16,20.67333221435547,45.31858825683594,6.145967483520508
2018-07-17,21.512666702270508,45.44676208496094,6.2819108963012695
2018-07-18,21.59000015258789,45.19751739501953,6.232635021209717
2018-07-19,21.34866714477539,45.5488395690918,6.2408061027526855
2018-07-20,20.905332565307617,45.444393157958984,6.212577819824219
2018-07-23,20.213333129882812,45.48475646972656,6.175928592681885
2018-07-24,19.82866668701172,45.8147087097168,6.158595085144043
2018-07-25,20.582666397094727,46.24675369262695,6.236843109130859
2018-07-26,20.44333267211914,46.1019401550293,6.310386657714844
2018-07-27,19.812000274658203,45.335201263427734,6.24055814743042
2018-07-30,19.344667434692383,45.08121109008789,6.04518461227417
2018-07-31,19.875999450683594,45.17140197753906,6.063261985778809
2018-08-01,20.055999755859375,47.83245849609375,6.103127479553223
2018-08-02,23.30266761779785,49.23064041137695,6.2058916091918945
2018-08-03,23.211332321166992,49.37307357788086,6.242539882659912
2018-08-06,22.799333572387695,49.62944793701172,6.2903313636779785
2018-08-07,25.30466651916504,49.16416931152344,6.362635135650635
2018-08-08,24.689332962036133,49.19739532470703,6.399036407470703
2018-08-09,23.496667861938477,49.5843391418457,6.350502014160156
2018-08-10,23.69933319091797,49.436641693115234,6.309149265289307
2018-08-13,23.76066780090332,49.75585174560547,6.342082977294922
2018-08-14,23.176000595092773,49.96548080444336,6.473571300506592
2018-08-15,22.57933235168457,50.08220672607422,6.415380001068115
2018-08-16,22.363332748413086,50.8159065246582,6.37476921081543
2018-08-17,20.366666793823242,51.8306999206543,6.062270641326904
2018-08-20,20.562667846679688,51.32568359375,6.1370530128479
2018-08-21,21.459999084472656,51.22563552856445,6.2727508544921875
2018-08-22,21.44266700744629,51.22801971435547,6.507988452911377
2018-08-23,21.34000015258789,51.33284378051758,6.607534408569336
2018-08-24,21.521333694458008,51.492435455322266,6.7407546043396
2018-08-27,21.284666061401367,51.91645812988281,6.831878662109375
2018-08-28,20.790666580200195,52.33571243286133,6.794240474700928
2018-08-29,20.333999633789062,53.1170539855957,6.899785041809082
2018-08-30,20.209999084472656,53.60539627075195,6.882936954498291
2018-08-31,20.110666275024414,54.224761962890625,6.954043865203857
2018-09-04,19.26333236694336,54.398658752441406,7.028866767883301
2018-09-05,18.715999603271484,54.043704986572266,6.898049831390381
2018-09-06,18.729999542236328,53.14564895629883,6.756829261779785
2018-09-07,17.549333572387695,52.71685791015625,6.7355217933654785
2018-09-10,19.03333282470703,52.00935745239258,6.8066277503967285
2018-09-11,18.62933349609375,53.32431411743164,6.758810997009277
2018-09-12,19.369333267211914,52.66208267211914,6.644842147827148
2018-09-13,19.297332763671875,53.93413543701172,6.722639083862305
2018-09-14,19.68000030517578,53.32192611694336,6.848745822906494
2018-09-17,19.6560001373291,51.90216827392578,6.786807537078857
2018-09-18,18.997333526611328,51.98792266845703,6.714709758758545
2018-09-19,19.934667587280273,52.01888656616211,6.738495349884033
2018-09-20,19.8886661529541,52.41432571411133,6.5972723960876465
2018-09-21,19.940000534057617,51.849761962890625,6.527159214019775
2018-09-24,19.978666305541992,52.595359802246094,6.582902908325195
2018-09-25,20.06599998474121,52.928871154785156,6.650046348571777
